id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
223	2011/1102/1000/0001	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
224	2011/1120/0010/1000	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
225	2011/1120/1000/0010	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
226	2101/0001/1012/1000	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
227	2101/0100/1000/1210	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
228	2101/0100/1210/1000	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
229	2101/1000/1012/0001	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
230	2101/1000/1210/0100	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
231	2101/1012/1000/0001	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
232	2110/0010/1000/1021	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
233	2110/0100/1000/1201	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
234	2110/0100/1201/1000	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
235	2110/1000/0010/1021	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
236	2110/1000/0100/1201	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
237	2110/1021/0010/1000	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
